day;sensor;time_[s];speed_[km/h];occupancy_[%];PL/h;VL/h;speed_per_lane;occupancy_per_lane;flow_per_lane_[veh/h]
2018-09-03;Poste 12 Sens 1;1800;;;0.00;39.00;[];[];[]
2018-09-03;Poste 12 Sens 1;5400;;;1.00;26.00;[];[];[]
2018-09-03;Poste 12 Sens 1;9000;;;2.00;31.00;[];[];[]
2018-09-03;Poste 12 Sens 1;12600;;;8.00;48.00;[];[];[]
2018-09-03;Poste 12 Sens 1;16200;;;15.00;154.00;[];[];[]
2018-09-03;Poste 12 Sens 1;19800;;;31.00;811.00;[];[];[]
2018-09-03;Poste 12 Sens 1;23400;;;36.00;980.00;[];[];[]
2018-09-03;Poste 12 Sens 1;27000;;;42.00;1129.00;[];[];[]
2018-09-03;Poste 12 Sens 1;30600;;;34.00;1001.00;[];[];[]
2018-09-03;Poste 12 Sens 1;34200;;;33.00;933.00;[];[];[]
2018-09-03;Poste 12 Sens 1;37800;;;37.00;993.00;[];[];[]
2018-09-03;Poste 12 Sens 1;41400;;;35.00;973.00;[];[];[]
2018-09-03;Poste 12 Sens 1;45000;;;30.00;1057.00;[];[];[]
2018-09-03;Poste 12 Sens 1;48600;;;34.00;949.00;[];[];[]
2018-09-03;Poste 12 Sens 1;52200;;;28.00;962.00;[];[];[]
2018-09-03;Poste 12 Sens 1;55800;;;22.00;1146.00;[];[];[]
2018-09-03;Poste 12 Sens 1;59400;;;18.00;1211.00;[];[];[]
2018-09-03;Poste 12 Sens 1;63000;;;34.00;1104.00;[];[];[]
2018-09-03;Poste 12 Sens 1;66600;;;17.00;814.00;[];[];[]
2018-09-03;Poste 12 Sens 1;70200;;;8.00;553.00;[];[];[]
2018-09-03;Poste 12 Sens 1;73800;;;7.00;278.00;[];[];[]
2018-09-03;Poste 12 Sens 1;77400;;;5.00;174.00;[];[];[]
2018-09-03;Poste 12 Sens 1;81000;;;0.00;119.00;[];[];[]
2018-09-03;Poste 12 Sens 1;84600;;;1.00;45.00;[];[];[]
2018-09-04;Poste 12 Sens 1;1800;;;1.00;27.00;[];[];[]
2018-09-04;Poste 12 Sens 1;5400;;;1.00;18.00;[];[];[]
2018-09-04;Poste 12 Sens 1;9000;;;2.00;25.00;[];[];[]
2018-09-04;Poste 12 Sens 1;12600;;;7.00;41.00;[];[];[]
2018-09-04;Poste 12 Sens 1;16200;;;16.00;145.00;[];[];[]
2018-09-04;Poste 12 Sens 1;19800;;;32.00;799.00;[];[];[]
2018-09-04;Poste 12 Sens 1;23400;;;33.00;959.00;[];[];[]
2018-09-04;Poste 12 Sens 1;27000;;;38.00;1123.00;[];[];[]
2018-09-04;Poste 12 Sens 1;30600;;;31.00;975.00;[];[];[]
